a,b,same_cat,d2_pnl,d2_n,d3_pnl,d3_n,d4_pnl,d4_n,d23_pnl,d23_n
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_MINT,0,16235.0,10,9870.0,11,-30285.0,4,26105.0,21
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_CHOCOLATE,0,8490.0,8,10300.0,9,-235.0,13,18790.0,17
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,0,960.0,6,11430.0,10,23480.0,18,12390.0,16
GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_CHOCOLATE,0,1630.0,6,6615.0,9,1425.0,13,8245.0,15
GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_VANILLA,0,6040.0,8,15575.0,12,4950.0,11,21615.0,20
GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_PISTACHIO,0,8080.0,7,3995.0,9,3865.0,14,12075.0,16
GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_STRAWBERRY,0,10985.0,6,8485.0,11,1135.0,12,19470.0,17
GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_RASPBERRY,0,3475.0,7,11030.0,9,5050.0,10,14505.0,16
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,1,4325.0,5,12920.0,11,-15520.0,8,17245.0,16
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,1,-1265.0,5,1410.0,9,-1685.0,9,145.0,14
GALAXY_SOUNDS_PLANETARY_RINGS,SLEEP_POD_SUEDE,0,6035.0,7,16200.0,13,10825.0,12,22235.0,20
GALAXY_SOUNDS_PLANETARY_RINGS,SLEEP_POD_LAMB_WOOL,0,-6280.0,4,2160.0,7,18970.0,10,-4120.0,11
GALAXY_SOUNDS_PLANETARY_RINGS,SLEEP_POD_POLYESTER,0,-6680.0,6,11955.0,9,-1005.0,7,5275.0,15
GALAXY_SOUNDS_PLANETARY_RINGS,SLEEP_POD_NYLON,0,9845.0,6,16485.0,16,-21180.0,4,26330.0,22
GALAXY_SOUNDS_PLANETARY_RINGS,SLEEP_POD_COTTON,0,-11300.0,5,7880.0,9,-12195.0,7,-3420.0,14
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_CIRCLE,0,4255.0,5,19745.0,16,-10800.0,9,24000.0,21
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_OVAL,0,3165.0,6,-2770.0,7,6190.0,11,395.0,13
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_SQUARE,0,-5335.0,9,8310.0,8,29830.0,11,2975.0,17
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_RECTANGLE,0,6090.0,6,-330.0,10,995.0,8,5760.0,16
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_TRIANGLE,0,-2900.0,7,17925.0,9,7660.0,9,15025.0,16
GALAXY_SOUNDS_PLANETARY_RINGS,PEBBLES_XS,0,21875.0,12,-3225.0,7,-155.0,8,18650.0,19
GALAXY_SOUNDS_PLANETARY_RINGS,PEBBLES_S,0,15195.0,8,9690.0,10,12970.0,10,24885.0,18
GALAXY_SOUNDS_PLANETARY_RINGS,PEBBLES_M,0,4730.0,8,-5590.0,7,615.0,9,-860.0,15
GALAXY_SOUNDS_PLANETARY_RINGS,PEBBLES_L,0,-5840.0,6,21185.0,13,-2950.0,8,15345.0,19
GALAXY_SOUNDS_PLANETARY_RINGS,PEBBLES_XL,0,-2600.0,6,31585.0,13,-15145.0,9,28985.0,19
GALAXY_SOUNDS_PLANETARY_RINGS,ROBOT_VACUUMING,0,-15945.0,4,6400.0,9,-12815.0,6,-9545.0,13
GALAXY_SOUNDS_PLANETARY_RINGS,ROBOT_MOPPING,0,1475.0,7,13035.0,13,6490.0,11,14510.0,20
GALAXY_SOUNDS_PLANETARY_RINGS,ROBOT_DISHES,0,5505.0,6,13905.0,14,-10950.0,5,19410.0,20
GALAXY_SOUNDS_PLANETARY_RINGS,ROBOT_LAUNDRY,0,-6305.0,3,27560.0,18,7115.0,9,21255.0,21
GALAXY_SOUNDS_PLANETARY_RINGS,ROBOT_IRONING,0,10515.0,8,7015.0,13,-17830.0,5,17530.0,21
GALAXY_SOUNDS_PLANETARY_RINGS,UV_VISOR_YELLOW,0,-11740.0,4,15120.0,10,-12030.0,6,3380.0,14
GALAXY_SOUNDS_PLANETARY_RINGS,UV_VISOR_AMBER,0,7830.0,9,3810.0,15,1640.0,7,11640.0,24
GALAXY_SOUNDS_PLANETARY_RINGS,UV_VISOR_ORANGE,0,-1535.0,6,11840.0,13,-3920.0,8,10305.0,19
GALAXY_SOUNDS_PLANETARY_RINGS,UV_VISOR_RED,0,-6430.0,6,2935.0,8,-9535.0,8,-3495.0,14
GALAXY_SOUNDS_PLANETARY_RINGS,UV_VISOR_MAGENTA,0,-3650.0,9,12775.0,9,-16605.0,5,9125.0,18
GALAXY_SOUNDS_PLANETARY_RINGS,TRANSLATOR_SPACE_GRAY,0,2870.0,8,8150.0,11,6180.0,9,11020.0,19
GALAXY_SOUNDS_PLANETARY_RINGS,TRANSLATOR_ASTRO_BLACK,0,-3710.0,7,3440.0,9,-4200.0,6,-270.0,16
GALAXY_SOUNDS_PLANETARY_RINGS,TRANSLATOR_ECLIPSE_CHARCOAL,0,8170.0,9,4835.0,8,-3075.0,11,13005.0,17
GALAXY_SOUNDS_PLANETARY_RINGS,TRANSLATOR_GRAPHITE_MIST,0,12570.0,8,22930.0,13,-11860.0,11,35500.0,21
GALAXY_SOUNDS_PLANETARY_RINGS,TRANSLATOR_VOID_BLUE,0,1125.0,7,16025.0,9,4175.0,12,17150.0,16
GALAXY_SOUNDS_PLANETARY_RINGS,PANEL_1X2,0,-1485.0,3,10055.0,13,-17455.0,4,8570.0,16
GALAXY_SOUNDS_PLANETARY_RINGS,PANEL_2X2,0,700.0,5,7535.0,15,-370.0,5,8235.0,20
GALAXY_SOUNDS_PLANETARY_RINGS,PANEL_1X4,0,11405.0,8,-17515.0,9,-4495.0,4,-6110.0,17
